Age,NumberOfPersonVisiting,PreferredPropertyStar,NumberOfTrips,NumberOfChildrenVisiting,MonthlyIncome,PitchSatisfactionScore,NumberOfFollowups,DurationOfPitch,TypeofContact,CityTier,Occupation,Gender,MaritalStatus,Passport,OwnCar,Designation,ProdTaken
28,3,3,3,2,23299,2,6,15,Company Invited,1,Salaried,Male,Divorced,0,1,Executive,0
34,3,5,1,0,20343,1,4,7,Company Invited,1,Small Business,Male,Single,0,0,Manager,0
54,3,5,2,2,27059,1,4,7,Self Enquiry,3,Small Business,Fe Male,Unmarried,0,1,Manager,0
22,2,3,2,1,17871,1,3,21,Self Enquiry,1,Small Business,Female,Single,0,1,Executive,0
39,3,3,5,2,21499,3,4,10,Company Invited,1,Salaried,Male,Divorced,0,1,Executive,0
32,1,3,3,0,26244,1,3,16,Self Enquiry,1,Small Business,Male,Unmarried,0,0,Senior Manager,0
32,3,3,6,2,20175,3,1,14,Self Enquiry,1,Small Business,Female,Divorced,0,1,Manager,0
37,4,3,8,2,25493,1,4,7,Self Enquiry,3,Salaried,Fe Male,Unmarried,0,1,Manager,0
37,4,3,5,1,21322,3,4,9,Self Enquiry,3,Salaried,Male,Unmarried,1,0,Executive,0
36,3,3,5,0,17519,5,3,8,Self Enquiry,1,Small Business,Male,Single,0,1,Executive,0
29,2,3,2,1,17157,3,3,26,Company Invited,3,Large Business,Female,Divorced,0,0,Executive,0
37,3,3,5,0,21502,3,3,12,Self Enquiry,3,Small Business,Male,Married,0,1,Manager,0
50,3,3,1,2,32399,5,3,6,Self Enquiry,1,Small Business,Male,Married,0,0,AVP,0
59,3,3,4,1,26904,2,3,6,Self Enquiry,3,Large Business,Male,Divorced,1,0,Senior Manager,0
39,2,4,1,0,21389,2,2,9,Self Enquiry,2,Salaried,Female,Divorced,0,1,Manager,0
27,3,3,2,1,17534,3,4,30,Company Invited,1,Salaried,Male,Single,1,1,Executive,1
55,2,5,1,0,34045,2,3,6,Self Enquiry,1,Small Business,Male,Single,1,1,VP,0
50,4,5,6,2,21265,1,4,23,Self Enquiry,1,Small Business,Female,Married,1,1,Executive,0
27,4,3,3,2,21620,4,4,32,Self Enquiry,2,Salaried,Female,Married,0,1,Executive,0
29,2,3,4,1,18339,4,3,13,Self Enquiry,1,Large Business,Female,Married,1,1,Executive,1
38,3,3,6,1,21471,4,4,11,Company Invited,3,Small Business,Male,Married,0,1,Executive,0
51,3,3,2,0,17723,4,3,6,Self Enquiry,1,Salaried,Male,Divorced,0,1,Executive,0
29,3,3,5,2,22338,4,4,17,Self Enquiry,1,Salaried,Female,Unmarried,0,0,Manager,0
31,2,3,1,0,26557,3,4,13,Self Enquiry,3,Salaried,Male,Married,0,1,Senior Manager,0
38,4,3,6,2,28280,3,4,9,Self Enquiry,3,Small Business,Male,Divorced,1,0,Manager,0
36,4,3,3,1,20692,2,4,9,Self Enquiry,3,Small Business,Female,Divorced,0,1,Executive,0
31,3,3,4,2,24769,2,6,9,Self Enquiry,1,Salaried,Fe Male,Unmarried,0,0,Manager,0
19,3,3,3,1,20098,4,4,10,Self Enquiry,1,Small Business,Male,Single,0,1,Executive,1
29,2,5,2,1,22336,3,4,29,Self Enquiry,3,Salaried,Female,Married,0,1,Senior Manager,1
36,3,3,5,1,17519,5,3,8,Self Enquiry,1,Small Business,Male,Single,0,1,Executive,0
46,3,5,3,1,24447,3,6,12,Self Enquiry,1,Small Business,Fe Male,Unmarried,1,1,Manager,0
38,3,5,7,0,20980,1,1,8,Company Invited,1,Salaried,Female,Single,1,0,Manager,0
36,2,3,5,0,17571,3,1,29,Company Invited,1,Small Business,Male,Married,0,0,Manager,0
23,3,3,2,1,21531,3,5,10,Company Invited,1,Salaried,Male,Divorced,1,0,Executive,1
45,3,3,5,2,20154,1,3,8,Company Invited,3,Salaried,Female,Married,0,1,Manager,0
47,3,3,2,0,18294,2,4,8,Self Enquiry,3,Salaried,Female,Single,1,1,Executive,0
36,3,3,5,0,17543,5,3,8,Self Enquiry,1,Salaried,Female,Married,0,1,Executive,0
53,3,3,1,1,25934,1,4,13,Self Enquiry,3,Small Business,Female,Married,1,0,Senior Manager,0
34,2,4,6,1,18294,1,4,6,Self Enquiry,1,Salaried,Female,Divorced,0,1,Executive,0
28,4,3,3,3,24447,3,5,17,Self Enquiry,3,Small Business,Female,Divorced,1,1,Manager,0
32,3,3,1,0,20055,3,1,8,Self Enquiry,1,Small Business,Female,Single,0,0,Manager,0
38,3,3,1,2,26510,5,4,21,Self Enquiry,1,Salaried,Male,Married,1,1,Senior Manager,0
19,3,4,2,0,16483,3,3,9,Self Enquiry,1,Small Business,Female,Single,0,1,Executive,0
38,3,3,1,2,17684,5,3,16,Company Invited,1,Small Business,Male,Divorced,0,0,Executive,0
34,3,5,3,1,22715,4,2,7,Self Enquiry,3,Small Business,Male,Married,0,0,Manager,0
41,3,5,7,1,29153,5,5,12,Company Invited,3,Salaried,Male,Married,1,0,Senior Manager,0
59,3,4,4,2,29230,5,5,12,Self Enquiry,1,Large Business,Female,Married,1,1,Senior Manager,0
41,3,3,8,1,26623,4,4,23,Self Enquiry,1,Salaried,Fe Male,Unmarried,1,1,Senior Manager,0
41,3,3,1,0,20993,2,3,6,Self Enquiry,3,Salaried,Female,Single,1,1,Manager,1
42,2,3,6,1,17515,1,3,8,Company Invited,1,Small Business,Male,Single,1,1,Executive,0
30,2,3,5,0,17097,3,3,9,Company Invited,1,Salaried,Male,Married,0,1,Executive,0
50,3,4,8,2,31798,4,5,15,Self Enquiry,3,Large Business,Male,Married,0,1,AVP,0
41,3,4,5,2,21065,1,4,7,Self Enquiry,1,Salaried,Male,Divorced,0,1,Executive,0
26,3,4,3,2,21091,1,5,26,Self Enquiry,3,Small Business,Male,Married,1,0,Executive,1
41,3,4,3,1,23339,5,4,14,Self Enquiry,3,Small Business,Male,Unmarried,0,0,Executive,1
39,3,3,1,0,28464,3,3,16,Self Enquiry,1,Small Business,Male,Unmarried,0,1,Senior Manager,0
31,3,3,5,0,21929,2,2,13,Self Enquiry,3,Large Business,Male,Divorced,0,1,Manager,0
43,3,3,4,2,20679,3,3,15,Company Invited,1,Small Business,Male,Married,1,1,Manager,0
30,3,4,3,2,21438,1,6,16,Self Enquiry,3,Small Business,Female,Unmarried,0,1,Executive,1
23,2,5,2,0,16790,5,3,15,Company Invited,3,Small Business,Male,Married,0,1,Executive,1
28,3,3,2,1,22195,4,2,15,Self Enquiry,1,Small Business,Female,Married,0,0,Executive,0
45,4,3,4,3,21496,3,2,15,Self Enquiry,1,Salaried,Male,Divorced,1,1,Executive,0
26,3,3,3,1,24858,4,4,33,Self Enquiry,3,Small Business,Fe Male,Unmarried,0,0,Manager,0
58,3,3,5,1,32796,3,5,36,Self Enquiry,3,Small Business,Male,Married,0,1,AVP,0
55,3,4,4,2,29403,3,4,26,Self Enquiry,2,Small Business,Male,Married,0,1,Senior Manager,0
44,3,4,6,1,23443,3,4,15,Self Enquiry,1,Salaried,Female,Married,0,1,Manager,0
30,3,3,3,2,21067,3,5,25,Self Enquiry,1,Small Business,Male,Single,1,0,Executive,1
36,3,5,2,2,22990,1,5,7,Self Enquiry,3,Small Business,Male,Unmarried,0,1,Manager,0
28,3,5,7,2,22976,3,5,7,Company Invited,1,Large Business,Male,Divorced,0,0,Manager,0
36,3,3,3,0,22779,3,3,24,Company Invited,1,Salaried,Male,Unmarried,0,1,Manager,0
35,4,4,4,1,20989,3,4,34,Self Enquiry,1,Small Business,Female,Single,0,1,Executive,0
25,3,3,2,2,20823,4,4,17,Company Invited,2,Small Business,Male,Married,0,1,Executive,0
26,4,4,2,2,22347,3,4,27,Self Enquiry,2,Small Business,Female,Married,1,0,Executive,1
37,3,3,7,2,25048,3,3,16,Company Invited,1,Small Business,Male,Married,0,0,Senior Manager,1
34,3,3,1,0,17661,3,3,25,Self Enquiry,1,Small Business,Male,Married,0,0,Executive,0
45,2,3,7,0,23865,4,4,12,Company Invited,3,Small Business,Fe Male,Unmarried,0,1,Senior Manager,0
29,2,4,2,1,23268,5,4,16,Self Enquiry,3,Small Business,Female,Married,1,0,Manager,0
29,2,3,1,1,17974,5,3,15,Self Enquiry,1,Small Business,Female,Married,0,1,Executive,0
57,3,3,2,1,29781,4,4,16,Self Enquiry,1,Small Business,Male,Divorced,0,0,AVP,0
28,3,5,3,2,27471,3,4,17,Company Invited,1,Salaried,Male,Married,0,0,Senior Manager,0
36,2,3,2,1,24980,1,3,16,Company Invited,3,Small Business,Male,Unmarried,0,1,Senior Manager,0
58,2,4,5,0,17705,4,3,8,Company Invited,3,Small Business,Male,Married,0,1,AVP,0
36,3,3,3,2,25324,5,6,13,Self Enquiry,1,Salaried,Male,Unmarried,0,0,Manager,0
34,3,4,6,1,20991,4,5,32,Self Enquiry,1,Small Business,Male,Single,1,1,Executive,1
37,3,3,5,2,23180,4,4,9,Self Enquiry,3,Salaried,Female,Unmarried,0,1,Manager,0
24,3,4,2,1,17210,2,3,23,Self Enquiry,1,Salaried,Female,Divorced,0,0,Executive,1
26,3,3,3,1,20774,3,4,20,Self Enquiry,3,Small Business,Male,Divorced,0,1,Executive,0
33,3,3,2,1,23385,3,2,18,Company Invited,3,Salaried,Male,Married,0,1,Manager,1
23,2,5,3,1,17819,4,2,10,Self Enquiry,1,Small Business,Male,Divorced,0,0,Executive,0
36,3,4,3,2,22421,5,5,21,Self Enquiry,1,Salaried,Male,Married,1,1,Executive,1
36,2,3,1,1,18210,5,3,12,Self Enquiry,1,Salaried,Male,Divorced,0,1,Executive,0
58,2,5,1,0,25008,4,4,13,Self Enquiry,1,Small Business,Female,Divorced,1,1,Senior Manager,1
43,2,3,5,1,17089,4,2,13,Company Invited,1,Small Business,Male,Married,0,0,Executive,0
42,2,5,7,0,20410,1,3,24,Self Enquiry,1,Salaried,Male,Married,1,0,Manager,0
38,2,3,4,1,20811,5,5,24,Self Enquiry,1,Small Business,Male,Married,1,0,Manager,0
36,4,3,3,2,21655,3,6,7,Self Enquiry,1,Salaried,Female,Married,0,0,Executive,0
32,2,3,4,1,17432,1,1,11,Company Invited,1,Salaried,Female,Single,1,0,Executive,1
32,2,3,2,0,25422,5,3,6,Self Enquiry,3,Small Business,Female,Married,0,1,Senior Manager,0
22,2,4,2,0,17328,4,1,11,Self Enquiry,1,Salaried,Male,Married,1,1,Executive,0
37,4,5,2,2,30391,3,2,15,Company Invited,1,Salaried,Female,Married,0,0,Senior Manager,0
25,3,4,3,1,21372,5,5,16,Company Invited,1,Salaried,Male,Married,0,1,Executive,0
46,2,4,3,0,33789,5,4,10,Self Enquiry,3,Small Business,Female,Divorced,0,1,VP,0
26,2,3,2,0,17293,1,5,31,Self Enquiry,1,Salaried,Male,Single,0,0,Executive,1
32,4,3,6,2,24850,3,6,13,Self Enquiry,3,Salaried,Male,Divorced,1,1,Manager,1
38,3,3,1,1,23740,3,4,16,Self Enquiry,3,Small Business,Male,Married,1,1,Senior Manager,0
27,3,3,2,0,17318,1,3,10,Self Enquiry,1,Salaried,Female,Single,0,0,Executive,0
28,3,3,2,1,22905,5,4,9,Self Enquiry,1,Salaried,Female,Married,0,1,Manager,0
32,3,3,2,0,20309,4,3,30,Company Invited,1,Salaried,Male,Divorced,0,1,Manager,0
46,3,3,3,0,24071,1,4,16,Self Enquiry,3,Small Business,Female,Married,1,0,Senior Manager,0
24,2,3,1,1,17400,4,3,30,Company Invited,3,Small Business,Male,Divorced,0,0,Executive,0
31,2,4,1,0,17657,3,4,15,Self Enquiry,1,Salaried,Male,Single,1,1,Executive,0
47,3,3,5,2,27256,1,4,9,Self Enquiry,1,Salaried,Male,Married,0,1,Senior Manager,0
25,3,3,2,2,21078,4,4,31,Company Invited,3,Small Business,Male,Married,0,1,Executive,0
22,3,5,3,1,20094,3,5,17,Self Enquiry,1,Salaried,Female,Single,0,1,Executive,1
37,2,4,6,1,20766,4,4,10,Company Invited,1,Small Business,Male,Single,0,1,Executive,0
40,2,4,1,0,21852,5,4,16,Self Enquiry,3,Large Business,Female,Married,0,1,Manager,0
53,3,3,5,2,32504,5,5,32,Company Invited,1,Small Business,Female,Married,0,0,AVP,0
38,2,4,1,0,22351,4,3,8,Self Enquiry,3,Small Business,Male,Unmarried,0,1,Senior Manager,0
32,2,5,5,1,17176,4,4,8,Self Enquiry,1,Large Business,Male,Single,0,0,Manager,0
31,3,3,2,2,20476,1,3,11,Self Enquiry,3,Salaried,Female,Married,0,0,Manager,0
25,2,3,2,1,20744,3,4,11,Self Enquiry,3,Small Business,Male,Single,1,0,Manager,1
42,3,3,2,2,29125,1,4,11,Self Enquiry,3,Small Business,Female,Married,1,0,Senior Manager,0
60,4,3,5,1,30582,1,4,7,Self Enquiry,3,Large Business,Male,Married,1,1,Senior Manager,0
28,3,5,1,2,20661,5,2,22,Self Enquiry,1,Small Business,Male,Single,0,0,Manager,0
49,2,3,3,0,28966,5,4,12,Self Enquiry,1,Salaried,Female,Married,1,1,AVP,0
42,3,4,3,1,28033,3,4,11,Company Invited,3,Small Business,Male,Unmarried,0,1,Manager,1
29,3,4,3,1,23457,3,4,9,Self Enquiry,3,Small Business,Female,Divorced,1,1,Manager,0
40,3,3,4,2,26915,4,2,13,Self Enquiry,3,Small Business,Male,Married,0,1,Senior Manager,0
59,4,3,3,1,28990,3,4,30,Self Enquiry,1,Small Business,Female,Divorced,0,1,Senior Manager,1
28,4,3,3,1,20996,1,4,11,Self Enquiry,1,Salaried,Female,Single,0,0,Executive,0
28,3,4,3,1,20957,3,4,16,Self Enquiry,1,Small Business,Female,Single,0,1,Executive,0
34,3,3,5,1,22130,3,4,20,Self Enquiry,1,Salaried,Female,Unmarried,0,1,Executive,0
48,2,3,5,0,17259,2,3,26,Self Enquiry,1,Small Business,Male,Divorced,0,0,Executive,0
33,3,3,2,2,23385,3,3,18,Company Invited,3,Salaried,Male,Divorced,0,1,Manager,1
34,3,3,2,0,21712,5,4,34,Self Enquiry,3,Small Business,Female,Married,0,1,Manager,0
43,4,3,2,1,24922,3,5,21,Self Enquiry,3,Small Business,Fe Male,Unmarried,0,0,Manager,0
49,2,3,1,0,28964,3,4,6,Self Enquiry,1,Large Business,Female,Single,1,1,AVP,0
41,4,3,5,2,23100,1,5,33,Company Invited,1,Small Business,Female,Married,1,0,Manager,0
26,3,4,2,1,23529,4,3,15,Self Enquiry,3,Salaried,Male,Divorced,0,0,Manager,0
33,3,3,2,1,20505,3,3,8,Self Enquiry,3,Small Business,Male,Married,0,1,Manager,0
46,2,3,1,1,34627,5,3,6,Self Enquiry,1,Small Business,Male,Married,0,1,VP,0
58,2,3,3,0,30787,1,3,21,Company Invited,1,Salaried,Male,Married,1,1,AVP,0
37,3,5,6,2,26686,4,4,12,Self Enquiry,1,Salaried,Female,Married,0,1,Senior Manager,0
47,2,4,2,0,26849,3,3,35,Company Invited,1,Salaried,Male,Divorced,1,1,Senior Manager,1
30,4,3,8,2,21210,5,5,14,Self Enquiry,1,Small Business,Female,Married,0,1,Executive,0
38,2,5,3,0,21288,5,4,18,Company Invited,1,Salaried,Male,Married,0,1,Manager,0
30,3,3,3,1,21320,4,4,17,Self Enquiry,3,Salaried,Male,Unmarried,0,0,Executive,0
27,3,3,3,2,20739,3,4,10,Self Enquiry,1,Salaried,Female,Married,0,1,Executive,0
43,2,3,1,1,17455,5,3,16,Company Invited,1,Salaried,Female,Single,0,0,Executive,0
43,3,3,7,2,21193,1,4,9,Company Invited,1,Small Business,Male,Single,1,1,Executive,0
30,3,5,2,0,17033,5,4,18,Company Invited,3,Salaried,Male,Divorced,0,1,Executive,1
40,2,5,4,1,17018,1,3,15,Self Enquiry,1,Salaried,Male,Single,0,1,Executive,1
35,4,3,3,3,24392,2,4,16,Self Enquiry,3,Salaried,Female,Divorced,0,1,Manager,0
36,4,3,3,2,23001,5,4,15,Self Enquiry,2,Large Business,Male,Unmarried,0,0,Executive,0
36,3,5,3,2,21237,4,5,34,Self Enquiry,1,Small Business,Female,Single,0,0,Executive,0
44,2,3,4,0,28320,1,1,34,Self Enquiry,3,Small Business,Female,Married,1,1,AVP,0
24,3,5,3,1,20468,5,4,16,Company Invited,3,Small Business,Male,Married,0,1,Executive,1
29,3,3,3,1,21391,1,4,28,Self Enquiry,1,Small Business,Male,Married,0,0,Executive,0
33,4,3,4,3,23081,1,4,20,Self Enquiry,3,Salaried,Male,Married,0,0,Manager,0
60,3,3,2,1,20945,4,4,13,Self Enquiry,2,Small Business,Male,Married,0,0,Executive,0
28,4,3,2,2,21212,3,2,18,Self Enquiry,3,Small Business,Female,Divorced,0,1,Executive,0
46,3,3,6,2,28434,1,6,11,Self Enquiry,2,Salaried,Female,Married,0,1,Senior Manager,0
38,3,3,3,1,28112,1,4,10,Self Enquiry,1,Salaried,Male,Married,0,1,Senior Manager,0
20,3,3,2,0,17926,1,4,12,Company Invited,1,Salaried,Female,Single,1,0,Executive,1
35,3,4,2,0,17022,3,3,31,Company Invited,1,Salaried,Female,Married,1,0,Executive,1
38,2,3,1,0,24526,3,4,29,Company Invited,1,Salaried,Male,Unmarried,0,0,Senior Manager,0
29,3,3,7,2,21045,3,5,24,Self Enquiry,1,Large Business,Male,Married,0,0,Executive,1
36,3,3,3,1,22595,5,4,17,Self Enquiry,1,Salaried,Male,Married,0,1,Executive,0
36,3,3,3,1,22595,5,4,17,Self Enquiry,1,Salaried,Male,Married,0,0,Executive,0
45,3,3,5,2,21839,5,4,31,Company Invited,1,Salaried,Male,Married,1,0,Executive,1
35,3,3,3,1,21257,5,4,21,Self Enquiry,3,Large Business,Female,Married,1,1,Executive,0
34,4,5,2,1,26902,3,4,16,Self Enquiry,3,Small Business,Fe Male,Unmarried,1,0,Manager,1
41,3,5,5,2,20696,1,4,16,Self Enquiry,1,Salaried,Male,Single,0,1,Executive,1
37,2,3,2,1,21474,2,4,6,Self Enquiry,1,Salaried,Female,Divorced,0,1,Manager,0
52,3,3,6,1,23614,3,4,21,Self Enquiry,3,Salaried,Female,Married,0,1,Manager,0
46,4,3,3,1,20952,3,5,9,Self Enquiry,1,Salaried,Female,Single,0,1,Executive,0
41,2,3,1,1,25447,1,3,10,Self Enquiry,3,Small Business,Female,Married,1,0,Senior Manager,0
43,3,3,6,0,31064,3,3,22,Self Enquiry,3,Small Business,Female,Married,1,0,AVP,0
35,1,3,2,0,17859,4,4,6,Self Enquiry,1,Small Business,Male,Single,0,1,Executive,0
36,3,5,1,1,26713,3,1,14,Company Invited,1,Salaried,Female,Married,0,0,Senior Manager,0
32,3,3,6,2,29709,1,4,17,Company Invited,1,Small Business,Female,Married,0,1,Senior Manager,0
50,1,5,3,0,32856,3,3,8,Company Invited,1,Small Business,Female,Married,0,0,AVP,0
54,2,3,1,0,25739,5,3,23,Self Enquiry,1,Large Business,Female,Married,0,0,Senior Manager,0
20,2,3,2,1,18033,3,4,9,Self Enquiry,1,Salaried,Male,Single,0,0,Executive,0
