Age,NumberOfPersonVisiting,PreferredPropertyStar,NumberOfTrips,NumberOfChildrenVisiting,MonthlyIncome,PitchSatisfactionScore,NumberOfFollowups,DurationOfPitch,TypeofContact,CityTier,Occupation,Gender,MaritalStatus,Passport,OwnCar,Designation
34,3,3,1,2,20304,2,2,25,Company Invited,3,Small Business,Male,Single,1,1,Manager
38,2,3,6,1,32342,2,4,14,Self Enquiry,1,Small Business,Male,Single,0,0,Senior Manager
46,3,5,1,0,24396,2,3,6,Self Enquiry,1,Small Business,Male,Married,0,0,Senior Manager
54,2,4,3,0,25725,3,3,25,Self Enquiry,2,Small Business,Male,Divorced,0,1,Senior Manager
56,2,3,1,0,26103,4,3,15,Self Enquiry,1,Small Business,Male,Married,0,0,AVP
30,2,3,19,1,17285,4,3,10,Company Invited,1,Large Business,Male,Single,1,1,Executive
26,3,5,1,2,17867,5,3,6,Self Enquiry,1,Small Business,Male,Single,0,1,Executive
33,2,3,1,0,26691,4,3,13,Self Enquiry,1,Small Business,Male,Married,0,1,Senior Manager
24,3,4,2,1,17127,3,4,23,Self Enquiry,1,Salaried,Male,Married,0,1,Executive
30,4,3,2,3,25062,5,6,36,Self Enquiry,1,Salaried,Male,Married,0,1,Manager
33,3,4,1,0,20147,1,3,8,Company Invited,3,Small Business,Female,Single,0,0,Manager
53,2,4,3,0,22525,1,4,8,Company Invited,3,Small Business,Female,Married,0,1,Senior Manager
29,3,5,2,2,23576,3,4,14,Company Invited,3,Salaried,Male,Unmarried,0,1,Manager
39,2,5,2,0,20151,4,3,15,Self Enquiry,1,Small Business,Male,Married,0,1,Manager
46,4,4,2,3,23483,5,4,9,Self Enquiry,3,Salaried,Male,Married,0,1,Manager
35,3,4,2,1,30672,3,4,14,Self Enquiry,1,Salaried,Female,Single,0,1,Senior Manager
35,4,3,8,1,20909,5,4,9,Company Invited,3,Small Business,Female,Married,0,0,Executive
33,4,4,8,3,21010,3,5,7,Company Invited,1,Salaried,Female,Married,0,0,Executive
29,2,3,2,0,21623,4,4,16,Company Invited,1,Salaried,Female,Unmarried,0,1,Executive
41,2,3,1,1,21230,1,3,16,Company Invited,3,Salaried,Male,Single,0,0,Manager
43,3,3,6,1,22950,3,6,36,Self Enquiry,1,Small Business,Male,Unmarried,0,1,Manager
35,3,3,2,2,21029,4,6,13,Company Invited,3,Small Business,Female,Married,0,0,Executive
41,3,3,4,0,28591,1,3,12,Self Enquiry,3,Salaried,Female,Single,1,0,Senior Manager
33,2,3,1,0,21949,4,4,6,Self Enquiry,1,Salaried,Female,Unmarried,0,0,Manager
40,2,3,1,0,28499,4,3,15,Company Invited,1,Small Business,Fe Male,Unmarried,0,0,Senior Manager
26,3,5,1,1,18102,3,3,9,Company Invited,1,Large Business,Male,Single,0,0,Executive
41,2,5,3,0,18072,1,3,25,Self Enquiry,1,Salaried,Male,Married,0,0,Manager
37,2,3,2,1,27185,3,3,17,Company Invited,1,Salaried,Male,Married,1,0,Senior Manager
31,2,3,4,1,17329,4,4,13,Self Enquiry,3,Salaried,Male,Married,0,1,Executive
45,3,4,8,2,21040,3,6,8,Self Enquiry,3,Salaried,Male,Single,0,0,Manager
33,3,5,2,2,18348,5,3,9,Company Invited,1,Salaried,Male,Single,1,1,Executive
33,4,4,3,1,21048,4,4,9,Self Enquiry,1,Small Business,Female,Divorced,0,0,Executive
33,3,3,3,2,21388,3,3,14,Self Enquiry,1,Salaried,Male,Unmarried,1,0,Manager
30,2,3,1,0,21577,2,3,18,Self Enquiry,3,Large Business,Female,Unmarried,0,1,Manager
42,2,3,7,1,17759,3,2,25,Company Invited,1,Small Business,Male,Married,1,1,Executive
46,2,3,7,0,32861,5,3,8,Self Enquiry,1,Salaried,Male,Married,0,1,AVP
51,4,3,6,3,21058,5,4,16,Self Enquiry,1,Salaried,Male,Married,0,1,Executive
30,2,3,3,0,21091,1,5,8,Self Enquiry,1,Salaried,Female,Single,0,1,Manager
37,3,3,6,1,22366,5,3,25,Company Invited,1,Salaried,Male,Divorced,0,0,Executive
28,2,3,2,1,17706,4,3,6,Company Invited,2,Salaried,Male,Married,0,0,Executive
42,2,5,1,0,28348,3,3,12,Self Enquiry,1,Small Business,Male,Married,0,1,Senior Manager
44,2,4,1,0,20933,2,3,10,Self Enquiry,1,Small Business,Male,Single,0,1,Manager
39,3,4,3,1,21118,1,5,9,Company Invited,1,Small Business,Female,Single,0,1,Executive
42,2,5,4,0,21545,2,2,23,Self Enquiry,1,Salaried,Female,Unmarried,1,0,Manager
39,2,5,2,1,25880,5,3,28,Company Invited,1,Small Business,Fe Male,Unmarried,1,1,Senior Manager
28,2,3,1,0,21674,3,5,6,Company Invited,1,Salaried,Female,Divorced,0,1,Manager
43,3,5,7,1,32159,5,3,20,Self Enquiry,1,Salaried,Male,Married,0,1,AVP
45,4,3,3,2,26656,3,4,22,Self Enquiry,1,Small Business,Female,Divorced,0,0,Senior Manager
53,4,5,5,2,24255,4,4,13,Self Enquiry,1,Large Business,Male,Married,1,1,Manager
42,4,5,4,1,20916,1,4,16,Self Enquiry,1,Salaried,Male,Married,0,0,Executive
36,3,3,7,0,20237,3,3,33,Self Enquiry,1,Small Business,Male,Divorced,0,1,Manager
22,4,4,3,3,20748,5,5,7,Self Enquiry,1,Large Business,Female,Single,1,0,Executive
37,4,4,2,3,24592,2,4,12,Self Enquiry,1,Salaried,Male,Unmarried,0,0,Manager
30,3,4,7,2,24443,3,4,20,Company Invited,3,Large Business,Fe Male,Unmarried,0,0,Manager
36,4,5,4,3,28562,5,5,18,Company Invited,1,Small Business,Male,Married,1,1,Senior Manager
40,2,3,2,1,34033,5,3,10,Self Enquiry,1,Small Business,Female,Divorced,0,0,VP
51,2,3,3,1,25650,2,5,14,Company Invited,1,Salaried,Male,Unmarried,0,0,Senior Manager
39,3,5,6,2,21536,3,5,7,Self Enquiry,3,Salaried,Male,Unmarried,0,0,Executive
43,2,4,2,1,29336,3,4,18,Self Enquiry,1,Salaried,Male,Married,0,0,AVP
35,3,3,2,0,16951,4,3,10,Self Enquiry,1,Salaried,Male,Married,0,0,Executive
40,4,3,2,2,29616,2,4,9,Company Invited,1,Large Business,Female,Single,0,1,Senior Manager
27,3,3,3,1,23362,1,4,17,Self Enquiry,3,Small Business,Male,Unmarried,0,0,Manager
26,2,5,7,0,17042,5,3,8,Company Invited,1,Salaried,Male,Divorced,1,1,Executive
43,3,3,2,0,31959,2,3,32,Company Invited,3,Salaried,Male,Divorced,1,0,AVP
32,4,5,3,3,25511,2,4,18,Self Enquiry,1,Small Business,Male,Divorced,1,0,Manager
35,3,5,4,1,30309,2,5,12,Self Enquiry,1,Small Business,Female,Single,0,0,Senior Manager
34,3,4,8,2,21300,4,5,11,Self Enquiry,1,Small Business,Female,Married,0,0,Executive
31,2,4,2,1,16261,4,4,14,Self Enquiry,1,Salaried,Female,Single,0,0,Executive
35,4,3,3,1,24392,1,4,16,Self Enquiry,3,Salaried,Female,Married,0,0,Manager
42,3,3,2,2,24829,5,6,16,Company Invited,3,Salaried,Male,Married,0,1,AVP
34,2,5,4,1,20121,5,3,14,Self Enquiry,1,Salaried,Female,Married,0,1,Manager
34,3,5,2,1,21385,3,4,9,Self Enquiry,1,Salaried,Female,Divorced,0,1,Executive
34,2,4,1,0,26994,3,3,13,Self Enquiry,1,Salaried,Fe Male,Unmarried,0,1,Senior Manager
39,3,3,5,2,24939,2,4,36,Self Enquiry,1,Large Business,Male,Divorced,0,0,Manager
29,3,3,3,1,22119,1,4,12,Self Enquiry,1,Large Business,Male,Unmarried,1,0,Executive
35,2,3,3,1,20762,3,3,8,Company Invited,1,Small Business,Male,Married,0,0,Manager
26,2,3,2,1,20828,2,4,10,Self Enquiry,3,Small Business,Male,Single,1,1,Manager
37,3,3,7,1,21513,2,4,10,Self Enquiry,1,Salaried,Female,Married,0,1,Executive
35,4,5,6,2,24024,3,4,16,Company Invited,1,Salaried,Male,Married,0,0,Manager
40,3,3,2,1,30847,3,4,9,Company Invited,1,Salaried,Male,Married,0,1,AVP
33,2,3,2,0,17851,2,3,11,Self Enquiry,3,Small Business,Female,Single,1,1,Executive
38,3,4,1,0,17899,4,4,15,Self Enquiry,3,Small Business,Male,Divorced,0,0,Executive
33,4,4,3,1,21421,5,5,20,Company Invited,1,Salaried,Female,Married,0,1,Executive
29,2,5,2,0,17319,2,4,6,Self Enquiry,1,Salaried,Female,Divorced,1,0,Executive
34,3,3,2,1,30369,4,4,14,Self Enquiry,1,Small Business,Male,Married,0,1,Senior Manager
36,4,5,5,2,27644,3,4,24,Self Enquiry,3,Salaried,Male,Divorced,1,1,Manager
23,3,5,4,1,17322,3,3,8,Self Enquiry,3,Large Business,Male,Married,0,1,Executive
61,3,5,7,1,38244,5,4,14,Self Enquiry,1,Salaried,Female,Divorced,0,0,VP
55,2,3,1,0,28577,5,4,8,Company Invited,3,Salaried,Fe Male,Single,0,0,Executive
61,4,5,6,1,28944,2,5,35,Company Invited,3,Small Business,Female,Divorced,0,1,Senior Manager
28,4,4,2,2,25027,1,4,7,Company Invited,3,Small Business,Male,Married,1,0,Manager
36,3,4,2,1,21499,4,4,17,Company Invited,1,Salaried,Male,Unmarried,0,1,Manager
41,3,5,5,1,29610,5,6,35,Company Invited,3,Salaried,Male,Married,0,1,Senior Manager
33,4,3,2,3,23733,3,3,9,Self Enquiry,1,Small Business,Fe Male,Unmarried,0,1,Manager
40,2,3,3,1,17809,5,4,8,Self Enquiry,1,Salaried,Male,Single,0,0,Executive
31,3,3,6,2,20775,3,4,10,Company Invited,1,Salaried,Male,Divorced,0,0,Executive
39,4,5,3,2,32260,4,4,7,Self Enquiry,1,Large Business,Female,Married,0,1,Senior Manager
28,3,5,2,1,23722,1,4,30,Company Invited,1,Large Business,Male,Unmarried,0,1,Senior Manager
30,4,4,2,3,21858,5,4,9,Company Invited,1,Salaried,Female,Divorced,0,0,Executive
52,2,3,4,1,28826,5,4,31,Company Invited,1,Small Business,Female,Divorced,0,0,AVP
22,3,4,3,2,21394,5,3,19,Self Enquiry,3,Salaried,Female,Unmarried,0,0,Executive
27,2,4,2,1,21214,1,3,14,Self Enquiry,3,Small Business,Female,Married,0,0,Manager
45,4,3,3,1,21614,3,4,17,Self Enquiry,1,Salaried,Male,Unmarried,1,1,Executive
36,2,5,1,0,22094,5,4,16,Self Enquiry,3,Small Business,Male,Married,0,0,Senior Manager
43,2,5,1,0,24985,5,3,13,Self Enquiry,1,Salaried,Female,Divorced,0,1,Senior Manager
36,2,4,1,0,20410,3,3,8,Self Enquiry,1,Salaried,Female,Single,1,1,Manager
55,3,4,1,2,33722,2,2,20,Self Enquiry,1,Small Business,Male,Single,0,0,VP
56,3,3,2,0,17587,3,3,30,Self Enquiry,1,Salaried,Male,Single,0,0,Executive
42,2,3,2,0,19907,3,3,6,Self Enquiry,3,Salaried,Male,Divorced,0,1,Manager
34,3,5,6,2,21500,1,3,14,Self Enquiry,3,Salaried,Female,Married,0,1,Manager
51,3,3,4,0,17075,3,3,15,Self Enquiry,1,Salaried,Male,Married,0,1,Executive
40,3,3,6,1,24580,5,5,11,Self Enquiry,3,Salaried,Female,Divorced,0,1,Manager
53,3,3,2,1,22936,3,4,26,Company Invited,1,Small Business,Male,Divorced,0,1,Executive
50,4,5,3,3,25245,2,4,27,Self Enquiry,1,Small Business,Female,Divorced,0,1,Manager
28,3,4,1,0,17216,2,5,6,Self Enquiry,1,Salaried,Female,Single,1,1,Executive
38,4,3,6,3,25012,5,5,23,Self Enquiry,3,Small Business,Male,Married,0,1,Manager
49,3,5,2,0,21567,1,3,26,Self Enquiry,1,Small Business,Female,Married,0,1,Manager
30,3,5,3,1,26666,3,5,24,Self Enquiry,2,Salaried,Male,Unmarried,0,0,Senior Manager
32,3,4,1,0,18298,2,2,11,Self Enquiry,1,Salaried,Male,Married,1,1,Executive
31,3,3,5,1,22511,4,6,7,Self Enquiry,1,Salaried,Male,Divorced,0,1,Executive
36,3,3,3,1,22692,3,4,28,Self Enquiry,1,Salaried,Female,Married,1,0,Manager
18,3,4,2,2,16878,4,3,11,Company Invited,3,Small Business,Male,Single,1,1,Executive
42,2,5,1,1,17593,4,4,8,Self Enquiry,1,Small Business,Female,Married,1,1,Executive
25,4,3,3,1,22938,1,4,17,Self Enquiry,3,Small Business,Female,Married,1,0,Manager
38,3,3,3,0,20405,3,5,8,Self Enquiry,3,Small Business,Female,Married,1,0,Manager
29,3,3,3,2,20885,4,4,22,Self Enquiry,1,Salaried,Male,Married,0,1,Executive
29,4,5,3,2,23236,1,4,24,Self Enquiry,1,Small Business,Male,Married,0,0,Manager
29,2,5,2,1,24980,5,1,27,Self Enquiry,1,Salaried,Female,Married,0,1,Senior Manager
39,3,5,2,2,32068,3,3,16,Self Enquiry,1,Small Business,Male,Married,1,1,AVP
47,2,3,5,0,33300,1,3,11,Self Enquiry,1,Salaried,Male,Married,0,1,VP
61,3,5,2,1,24083,4,4,23,Self Enquiry,3,Small Business,Male,Unmarried,0,1,Manager
33,4,5,3,2,21117,1,4,9,Self Enquiry,1,Large Business,Male,Single,0,1,Executive
54,3,5,1,2,20485,3,3,25,Self Enquiry,1,Small Business,Female,Married,1,0,Manager
42,2,5,1,0,20155,5,3,10,Self Enquiry,3,Small Business,Male,Single,0,1,Manager
36,4,4,2,1,26773,3,4,12,Self Enquiry,1,Large Business,Male,Unmarried,0,0,Senior Manager
34,3,5,6,0,21500,2,3,14,Self Enquiry,3,Salaried,Female,Divorced,0,1,Manager
27,3,3,3,2,20971,2,6,32,Self Enquiry,1,Salaried,Male,Single,0,1,Executive
46,2,5,4,1,33947,1,3,8,Self Enquiry,3,Small Business,Female,Single,0,1,VP
25,3,3,3,2,23295,3,5,7,Self Enquiry,1,Salaried,Male,Unmarried,0,1,Manager
24,4,3,3,1,21325,5,4,19,Self Enquiry,1,Salaried,Male,Unmarried,0,1,Executive
46,3,4,6,2,22314,1,3,16,Self Enquiry,3,Salaried,Female,Married,0,0,Senior Manager
44,3,5,4,2,34190,1,4,15,Self Enquiry,3,Salaried,Male,Married,0,1,Executive
31,2,5,1,0,17321,3,4,15,Company Invited,1,Small Business,Male,Single,1,1,Executive
41,2,4,2,0,24355,3,3,10,Company Invited,3,Small Business,Male,Unmarried,0,1,Manager
27,3,3,2,2,21419,5,4,24,Company Invited,2,Salaried,Female,Married,1,0,Executive
44,3,5,6,1,20454,1,3,6,Self Enquiry,3,Small Business,Female,Married,1,1,Manager
33,4,3,4,1,23081,2,4,20,Self Enquiry,3,Salaried,Male,Married,0,0,Manager
37,2,3,5,1,22491,5,3,6,Self Enquiry,1,Large Business,Female,Unmarried,0,1,Senior Manager
23,2,3,2,0,17275,1,3,13,Self Enquiry,3,Salaried,Male,Married,1,1,Executive
40,3,3,2,1,23212,3,4,25,Self Enquiry,1,Salaried,Male,Unmarried,0,0,Manager
25,3,5,4,2,21850,3,4,16,Company Invited,1,Small Business,Male,Unmarried,1,0,Executive
37,3,5,2,0,18034,4,3,20,Self Enquiry,1,Salaried,Female,Married,0,1,Executive
57,2,3,4,1,24439,4,2,30,Self Enquiry,1,Salaried,Male,Married,1,1,Senior Manager
34,2,4,2,0,23621,1,4,15,Self Enquiry,1,Small Business,Fe Male,Unmarried,0,1,Senior Manager
19,2,3,2,0,17994,5,1,31,Self Enquiry,1,Salaried,Female,Single,1,1,Executive
43,3,3,2,2,20675,3,3,8,Company Invited,3,Salaried,Male,Married,0,1,Manager
25,4,4,3,1,20711,1,4,20,Company Invited,3,Salaried,Female,Divorced,0,0,Executive
26,4,3,3,2,23884,1,2,9,Company Invited,1,Salaried,Male,Married,0,0,Manager
28,3,4,1,0,22655,4,3,9,Self Enquiry,1,Small Business,Female,Married,0,0,Senior Manager
25,3,3,3,2,21403,4,3,30,Self Enquiry,1,Small Business,Male,Divorced,1,0,Executive
52,4,3,3,1,21401,4,4,7,Self Enquiry,1,Salaried,Male,Married,0,1,Executive
35,3,3,4,2,23082,3,2,15,Self Enquiry,1,Small Business,Male,Married,0,0,Manager
22,4,3,3,2,21371,3,4,25,Self Enquiry,1,Salaried,Female,Unmarried,0,1,Executive
40,3,4,6,2,27054,3,4,13,Self Enquiry,1,Salaried,Fe Male,Unmarried,0,0,Senior Manager
43,3,3,7,2,21193,2,4,9,Company Invited,1,Small Business,Male,Single,1,0,Executive
30,4,3,2,1,20846,5,6,22,Self Enquiry,1,Salaried,Female,Divorced,1,1,Executive
47,2,3,4,0,32169,5,3,8,Self Enquiry,1,Small Business,Female,Divorced,0,1,AVP
50,3,3,3,2,26332,4,4,18,Self Enquiry,3,Small Business,Female,Divorced,0,0,Senior Manager
32,3,3,3,1,28530,1,4,9,Company Invited,3,Salaried,Female,Married,1,1,Senior Manager
34,3,3,2,2,25782,2,4,15,Self Enquiry,3,Small Business,Male,Married,0,1,Manager
41,3,3,8,2,23772,5,5,23,Company Invited,1,Small Business,Male,Unmarried,0,1,Manager
30,2,3,2,0,16081,5,3,15,Self Enquiry,3,Small Business,Male,Single,0,0,Executive
51,3,3,5,2,35558,3,4,19,Company Invited,3,Salaried,Male,Single,1,1,Manager
28,2,3,4,1,24854,5,3,19,Self Enquiry,3,Small Business,Fe Male,Unmarried,1,1,Manager
43,3,4,2,1,25503,3,4,15,Self Enquiry,3,Small Business,Male,Married,0,1,Manager
30,4,3,6,1,21192,5,4,35,Self Enquiry,1,Salaried,Female,Married,0,1,Executive
33,4,3,3,1,24840,4,5,11,Self Enquiry,1,Salaried,Female,Divorced,0,1,Manager
54,4,3,2,2,29612,1,5,14,Self Enquiry,3,Small Business,Female,Married,1,0,Senior Manager
32,2,4,2,1,21524,3,3,11,Company Invited,3,Salaried,Male,Married,0,1,Manager
39,4,3,3,3,24021,4,4,17,Self Enquiry,3,Salaried,Female,Married,0,0,Manager
37,3,5,2,1,25772,5,5,17,Self Enquiry,3,Small Business,Male,Married,0,0,Senior Manager
24,3,3,3,2,21582,2,4,33,Self Enquiry,1,Salaried,Male,Married,0,1,Executive
36,3,3,3,1,23646,5,4,18,Company Invited,3,Small Business,Male,Married,0,0,Manager
36,3,3,7,0,20347,3,3,32,Self Enquiry,1,Salaried,Male,Married,0,1,Manager
33,2,5,3,0,20376,3,2,6,Company Invited,3,Salaried,Female,Divorced,0,1,Manager
36,3,3,2,1,23395,3,4,7,Self Enquiry,3,Small Business,Male,Divorced,0,1,Manager
59,3,3,4,0,17177,3,4,9,Self Enquiry,1,Salaried,Male,Married,0,0,Executive
51,3,5,6,1,29532,5,5,35,Self Enquiry,3,Small Business,Male,Married,1,0,Senior Manager
60,3,5,2,1,26315,3,4,32,Self Enquiry,3,Salaried,Fe Male,Unmarried,0,1,Senior Manager
43,3,3,2,1,23201,3,5,35,Company Invited,1,Large Business,Female,Divorced,0,0,Manager
44,4,3,2,3,20936,4,4,28,Company Invited,1,Small Business,Male,Divorced,0,0,Executive
45,3,3,5,2,31998,2,2,35,Self Enquiry,3,Small Business,Female,Divorced,1,1,AVP
29,4,5,3,1,23236,2,4,24,Self Enquiry,1,Small Business,Male,Married,0,0,Manager
25,3,3,3,1,21564,4,4,14,Company Invited,1,Salaried,Female,Married,1,0,Executive
25,3,3,3,2,23055,3,5,24,Self Enquiry,1,Small Business,Female,Married,0,1,Manager
42,3,3,2,1,33430,5,3,14,Company Invited,1,Salaried,Male,Married,0,1,VP
41,3,5,2,1,17289,5,3,15,Self Enquiry,1,Salaried,Male,Married,0,1,Executive
47,3,3,8,2,22101,1,6,22,Self Enquiry,3,Small Business,Male,Married,1,0,Manager
53,2,4,5,0,31598,1,1,8,Self Enquiry,1,Small Business,Male,Single,0,1,AVP
35,3,4,1,1,23020,1,3,22,Self Enquiry,3,Small Business,Male,Married,0,1,Senior Manager
55,3,3,3,1,31659,5,3,8,Self Enquiry,1,Salaried,Female,Single,1,0,AVP
30,3,3,2,2,22871,1,5,22,Self Enquiry,1,Salaried,Female,Unmarried,1,1,Manager
30,2,3,3,1,21091,2,5,8,Self Enquiry,1,Salaried,Female,Single,0,0,Manager
47,3,3,5,0,17105,3,3,15,Self Enquiry,1,Salaried,Female,Single,0,1,Executive
29,3,3,1,0,17168,5,5,21,Self Enquiry,1,Salaried,Female,Divorced,1,1,Executive
28,3,3,6,1,17377,3,3,15,Self Enquiry,1,Small Business,Female,Married,0,1,Executive
26,2,5,1,1,17875,4,4,13,Self Enquiry,1,Small Business,Female,Married,1,1,Senior Manager
59,2,3,1,0,20473,5,4,6,Company Invited,3,Salaried,Female,Single,0,1,Manager
34,2,3,4,0,17979,1,4,9,Company Invited,1,Salaried,Male,Married,0,0,Executive
54,3,4,4,2,26203,2,5,9,Company Invited,3,Small Business,Female,Divorced,0,0,Senior Manager
44,2,3,5,1,20985,5,4,6,Self Enquiry,2,Salaried,Female,Single,0,1,Manager
45,4,3,3,1,20689,4,2,9,Self Enquiry,1,Salaried,Female,Divorced,0,1,Executive
47,4,5,2,1,28074,2,4,7,Self Enquiry,1,Small Business,Male,Married,0,0,Senior Manager
45,4,3,4,2,20968,4,6,24,Company Invited,1,Salaried,Male,Single,0,1,Executive
32,3,5,3,1,21743,1,4,10,Company Invited,1,Small Business,Male,Married,1,0,Executive
59,3,3,4,1,34465,1,4,22,Company Invited,1,Salaried,Male,Married,1,1,AVP
55,3,4,1,1,33722,1,1,20,Self Enquiry,1,Small Business,Male,Single,0,1,VP
34,3,4,3,1,24166,3,2,7,Company Invited,1,Salaried,Female,Married,1,1,Manager
34,3,3,3,2,24646,5,4,14,Company Invited,1,Salaried,Male,Married,0,1,Manager
35,2,3,4,1,17506,3,1,6,Self Enquiry,1,Salaried,Female,Single,0,1,Executive
44,3,5,1,2,33213,3,3,29,Self Enquiry,1,Small Business,Male,Single,0,0,Executive
30,4,3,3,2,23734,3,5,15,Self Enquiry,1,Small Business,Male,Married,1,1,Manager
38,3,3,2,2,20343,4,3,16,Self Enquiry,3,Salaried,Female,Married,0,0,Manager
33,3,3,2,2,28357,1,5,12,Self Enquiry,1,Salaried,Male,Unmarried,0,0,Manager
29,2,5,2,0,22988,3,4,23,Self Enquiry,2,Salaried,Male,Unmarried,0,0,Senior Manager
33,3,3,5,0,31184,1,1,6,Self Enquiry,1,Small Business,Female,Married,0,1,AVP
44,3,3,2,0,17011,4,1,8,Self Enquiry,1,Salaried,Female,Divorced,0,1,Executive
46,4,5,6,1,29439,2,4,16,Self Enquiry,3,Small Business,Male,Married,1,1,Senior Manager
21,3,3,1,1,17625,5,3,24,Company Invited,3,Small Business,Female,Married,1,0,Manager
29,3,3,5,2,22338,4,4,17,Self Enquiry,1,Salaried,Female,Unmarried,0,1,Manager
60,2,3,1,0,20220,5,1,13,Self Enquiry,3,Small Business,Male,Married,1,0,Manager
29,3,3,2,0,17642,4,3,16,Self Enquiry,3,Salaried,Male,Single,0,1,Executive
38,2,3,1,1,21861,3,3,9,Self Enquiry,3,Salaried,Male,Unmarried,1,1,Manager
35,3,5,2,0,24069,4,3,24,Company Invited,3,Salaried,Male,Divorced,0,1,Senior Manager
25,3,4,2,2,22275,5,4,31,Self Enquiry,1,Small Business,Male,Unmarried,0,0,Executive
34,3,3,2,2,27058,4,2,17,Self Enquiry,3,Small Business,Male,Married,1,1,Senior Manager
40,4,3,3,2,23231,1,5,9,Self Enquiry,1,Large Business,Female,Unmarried,0,1,Manager
35,3,5,3,1,24884,5,4,17,Company Invited,1,Small Business,Male,Divorced,1,1,Senior Manager
39,2,5,2,0,25880,5,3,28,Company Invited,1,Small Business,Fe Male,Unmarried,1,1,Senior Manager
37,1,3,5,0,28664,1,3,13,Self Enquiry,1,Small Business,Male,Single,0,0,Senior Manager
30,3,3,2,2,17632,1,3,24,Self Enquiry,1,Salaried,Female,Single,0,1,Executive
36,4,5,3,2,20752,1,4,9,Self Enquiry,1,Salaried,Female,Married,1,1,Executive
44,4,3,3,2,22759,4,5,13,Self Enquiry,1,Small Business,Female,Unmarried,1,1,Manager
27,2,3,2,0,27808,3,4,11,Self Enquiry,1,Large Business,Male,Married,1,0,Senior Manager
32,3,3,3,2,28530,1,6,29,Self Enquiry,2,Salaried,Male,Married,0,0,Executive
30,3,3,2,1,17083,3,3,9,Company Invited,1,Small Business,Female,Married,0,1,Executive
38,2,4,4,0,27061,3,4,31,Self Enquiry,1,Salaried,Female,Divorced,0,1,Senior Manager
36,4,5,4,1,23771,4,4,9,Company Invited,1,Salaried,Female,Married,0,0,Manager
32,4,3,6,3,24850,3,6,13,Self Enquiry,3,Salaried,Male,Married,1,0,Manager
40,3,4,2,1,28503,1,4,6,Company Invited,1,Salaried,Male,Married,0,1,AVP
46,3,4,4,0,31872,5,5,8,Self Enquiry,3,Large Business,Female,Married,1,1,AVP
29,2,3,2,0,18131,3,3,12,Self Enquiry,1,Small Business,Female,Divorced,0,0,Executive
48,4,3,6,3,25075,4,2,34,Company Invited,3,Salaried,Fe Male,Unmarried,1,1,Manager
32,3,3,2,2,21322,5,3,15,Self Enquiry,1,Salaried,Female,Married,1,1,Manager
36,4,4,3,2,24041,3,4,14,Self Enquiry,1,Salaried,Male,Unmarried,1,1,Executive
30,4,3,3,2,23327,2,4,9,Company Invited,3,Salaried,Male,Divorced,0,1,Manager
35,4,3,4,3,22711,4,4,9,Company Invited,1,Salaried,Male,Unmarried,0,1,Manager
54,3,3,4,2,21128,5,4,13,Self Enquiry,1,Salaried,Male,Single,0,1,Manager
35,4,3,2,1,23982,1,2,26,Company Invited,3,Small Business,Male,Unmarried,1,0,Manager
41,3,4,2,1,22295,4,4,16,Company Invited,1,Small Business,Male,Married,1,0,Executive
25,3,3,2,1,21452,4,4,25,Self Enquiry,1,Salaried,Male,Married,0,0,Executive
37,4,4,2,2,23809,3,4,11,Company Invited,1,Salaried,Female,Married,0,1,Manager
